id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol,logo
mcd19,McDonald's Collection 2019,Other,12,12,"unlimited, expanded",,2019/10/15,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd19/symbol.png,https://images.pokemontcg.io/mcd19/logo.png
sm12,Cosmic Eclipse,Sun & Moon,236,272,"unlimited, expanded",CEC,2019/11/01,2021/09/01 05:37:00,https://images.pokemontcg.io/sm12/symbol.png,https://images.pokemontcg.io/sm12/logo.png
swshp,SWSH Black Star Promos,Sword & Shield,307,304,"unlimited, standard, expanded",PR-SW,2019/11/15,2022/07/23 20:15:00,https://images.pokemontcg.io/swshp/symbol.png,https://images.pokemontcg.io/swshp/logo.png
swsh1,Sword & Shield,Sword & Shield,202,216,"unlimited, expanded",SSH,2020/02/07,2020/08/14 09:35:00,https://images.pokemontcg.io/swsh1/symbol.png,https://images.pokemontcg.io/swsh1/logo.png
swsh2,Rebel Clash,Sword & Shield,192,209,"unlimited, expanded",RCL,2020/05/01,2020/09/25 10:09:00,https://images.pokemontcg.io/swsh2/symbol.png,https://images.pokemontcg.io/swsh2/logo.png
swsh3,Darkness Ablaze,Sword & Shield,189,201,"unlimited, expanded",DAA,2020/08/14,2020/10/25 13:45:00,https://images.pokemontcg.io/swsh3/symbol.png,https://images.pokemontcg.io/swsh3/logo.png
swsh35,Champion's Path,Sword & Shield,73,80,"unlimited, expanded",CPA,2020/09/25,2020/10/25 13:45:00,https://images.pokemontcg.io/swsh35/symbol.png,https://images.pokemontcg.io/swsh35/logo.png
swsh4,Vivid Voltage,Sword & Shield,185,203,"unlimited, expanded",VIV,2020/11/13,2020/11/13 16:20:00,https://images.pokemontcg.io/swsh4/symbol.png,https://images.pokemontcg.io/swsh4/logo.png
swsh45,Shining Fates,Sword & Shield,72,73,"unlimited, standard, expanded",SHF,2021/02/19,2021/02/24 16:17:00,https://images.pokemontcg.io/swsh45/symbol.png,https://images.pokemontcg.io/swsh45/logo.png
swsh45sv,Shining Fates Shiny Vault,Sword & Shield,122,122,"unlimited, expanded",SHF,2021/02/19,2021/02/24 16:17:00,https://images.pokemontcg.io/swsh45sv/symbol.png,https://images.pokemontcg.io/swsh45sv/logo.png
swsh5,Battle Styles,Sword & Shield,163,183,"unlimited, standard, expanded",BST,2021/03/19,2021/03/19 15:12:00,https://images.pokemontcg.io/swsh5/symbol.png,https://images.pokemontcg.io/swsh5/logo.png
swsh6,Chilling Reign,Sword & Shield,198,233,"unlimited, standard, expanded",CRE,2021/06/18,2021/06/18 12:12:00,https://images.pokemontcg.io/swsh6/symbol.png,https://images.pokemontcg.io/swsh6/logo.png
swsh7,Evolving Skies,Sword & Shield,203,237,"unlimited, standard, expanded",EVS,2021/08/27,2021/08/27 10:17:00,https://images.pokemontcg.io/swsh7/symbol.png,https://images.pokemontcg.io/swsh7/logo.png
cel25,Celebrations,Sword & Shield,25,25,"unlimited, standard, expanded",CEL,2021/10/08,2022/10/11 21:39:00,https://images.pokemontcg.io/cel25/symbol.png,https://images.pokemontcg.io/cel25/logo.png
cel25c,Celebrations: Classic Collection,Sword & Shield,25,25,unlimited,CEL,2021/10/08,2022/10/11 21:39:00,https://images.pokemontcg.io/cel25c/symbol.png,https://images.pokemontcg.io/cel25c/logo.png
mcd14,McDonald's Collection 2014,Other,12,12,"unlimited, expanded",,2014/05/23,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd14/symbol.png,https://images.pokemontcg.io/mcd14/logo.png
mcd15,McDonald's Collection 2015,Other,12,12,"unlimited, expanded",,2015/11/27,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd15/symbol.png,https://images.pokemontcg.io/mcd15/logo.png
mcd18,McDonald's Collection 2018,Other,12,12,"unlimited, expanded",,2018/10/16,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd18/symbol.png,https://images.pokemontcg.io/mcd18/logo.png
mcd17,McDonald's Collection 2017,Other,12,12,"unlimited, expanded",,2017/11/07,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd17/symbol.png,https://images.pokemontcg.io/mcd17/logo.png
mcd21,McDonald's Collection 2021,Other,25,25,"unlimited, expanded",,2021/02/09,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd21/symbol.png,https://images.pokemontcg.io/mcd21/logo.png
